player,team,pos,g,mp,g_1,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Sug Sutton,PDX,G,1,20,1,0,20.0,3.0,13.0,.231,1.0,5.0,.200,2.0,8.0,.250,1.0,4.0,.250,0.0,3.0,8.0,0.0,0.0,1.0,3.0,8.0
Brittney Sykes,TOR,G,4,133,4,4,33.3,6.5,18.0,.361,1.3,5.5,.227,5.3,12.5,.420,10.0,11.0,.909,1.0,4.0,4.5,2.8,0.5,3.0,3.3,24.3
Stephanie Talbot,LVA,F,5,88,5,5,17.6,1.4,2.8,.500,0.0,1.0,.000,1.4,1.8,.778,0.2,0.4,.500,0.2,2.4,1.4,0.8,0.4,0.8,1.0,3.0
Sydney Taylor,CHI,G,3,20,3,0,6.7,0.7,3.0,.222,0.3,2.0,.167,0.3,1.0,.333,1.7,1.7,1.000,0.3,0.3,0.7,0.0,0.3,0.3,1.0,3.3
Alyssa Thomas,PHO,F,4,132,4,4,33.0,5.3,11.5,.457,0.0,0.0,,5.3,11.5,.457,6.0,9.0,.667,1.0,7.5,8.5,1.3,0.3,3.8,3.0,16.5
Kayla Thornton,GSV,F,3,90,3,3,30.0,4.0,11.3,.353,2.0,5.7,.353,2.0,5.7,.353,0.7,0.7,1.000,2.3,5.7,0.3,0.0,0.3,1.0,2.0,10.7
Makayla Timpson,IND,F-C,4,50,4,0,12.5,2.3,4.0,.563,0.0,0.0,,2.3,4.0,.563,0.3,0.5,.500,1.0,2.5,0.8,0.3,0.0,0.3,1.5,4.8
Brianna Turner,LVA,F-C,5,57,5,0,11.4,0.4,0.6,.667,0.0,0.0,,0.4,0.6,.667,0.0,0.0,,1.0,3.0,0.2,0.6,0.8,0.6,0.8,0.8
Hailey Van Lith,CON,G,4,78,4,1,19.5,4.5,7.8,.581,1.5,2.5,.600,3.0,5.3,.571,0.5,0.5,1.000,0.3,1.3,3.3,1.0,0.3,1.5,2.0,11.0
Julie Vanloo,NYL,G,4,65,4,0,16.3,2.0,3.5,.571,1.8,3.0,.583,0.3,0.5,.500,1.0,1.0,1.000,0.3,2.0,4.8,0.5,0.0,2.0,2.0,6.8
Grace VanSlooten,SEA,F,4,48,4,0,12.0,1.3,2.0,.625,0.5,0.8,.667,0.8,1.3,.600,1.3,2.0,.625,0.3,1.5,0.8,1.0,0.8,0.3,0.5,4.3
Shatori Walker-Kimbrough,IND,G,1,3,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Erica Wheeler,LAS,G,4,102,4,2,25.5,1.5,7.5,.200,0.5,3.5,.143,1.0,4.0,.250,1.0,1.3,.800,0.5,1.5,4.8,1.8,0.3,1.5,3.0,4.5
Courtney Williams,MIN,G,4,123,4,4,30.8,6.8,15.0,.450,1.8,4.5,.389,5.0,10.5,.476,0.5,0.8,.667,0.3,4.8,4.3,1.8,0.5,1.5,1.8,15.8
Elizabeth Williams,CHI,C-F,4,59,4,0,14.8,1.5,3.0,.500,0.0,0.0,,1.5,3.0,.500,0.8,1.8,.429,1.8,4.8,0.8,0.0,0.8,1.0,1.3,3.8
Gabby Williams,GSV,F,3,88,3,3,29.3,5.0,13.0,.385,2.7,6.7,.400,2.3,6.3,.368,2.0,2.7,.750,1.7,5.3,2.7,2.0,0.7,2.7,1.0,14.7
Kiana Williams,PHO,G,4,55,4,0,13.8,1.8,4.5,.389,1.5,3.8,.400,0.3,0.8,.333,0.5,0.5,1.000,0.0,0.5,0.5,0.8,0.0,1.0,1.3,5.5
Peyton Williams,PHO,F,1,6,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
Serah Williams,PDX,F,2,12,2,0,6.0,0.0,1.5,.000,0.0,0.0,,0.0,1.5,.000,0.5,1.0,.500,0.0,2.0,1.0,0.5,0.5,0.0,0.0,0.5
A'ja Wilson,LVA,C,5,138,5,5,27.6,8.8,14.8,.595,1.2,1.8,.667,7.6,13.0,.585,6.2,7.4,.838,1.0,5.6,2.4,0.8,2.0,2.6,2.4,25.0
Ally Wilson,WAS,G,3,50,3,0,16.7,1.3,5.0,.267,0.7,3.7,.182,0.7,1.3,.500,0.0,0.0,,1.7,2.3,1.0,0.0,0.3,0.7,2.3,3.3
Han Xu,NYL,C,4,60,4,0,15.0,1.5,4.0,.375,0.5,2.0,.250,1.0,2.0,.500,0.3,0.5,.500,0.5,2.3,0.8,0.3,0.5,0.5,2.0,3.8
Jackie Young,LVA,G,5,148,5,5,29.6,4.6,13.0,.354,0.8,4.0,.200,3.8,9.0,.422,1.2,1.4,.857,0.8,5.0,6.2,1.0,0.6,2.0,2.2,11.2
Li Yueru,DAL,C,1,4,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,3.0,4.0,.750,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Cecilia Zandalasini,GSV,F,1,7,1,0,7.0,3.0,5.0,.600,1.0,3.0,.333,2.0,2.0,1.000,1.0,2.0,.500,0.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0
