player,team,pos,g,mp,g_1,mp_1,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,DUMMY,ows,dws,ws,ws_per_40
Li Yueru,DAL,C,26,271,26,271,10.8,.521,.438,.477,.615,9.9,15.3,6.1,0.8,1.6,14.5,15.9,107,110,,0.2,0.3,0.5,.076
Cecilia Zandalasini,GSV,F,29,541,29,541,12.5,.528,.500,.498,.157,2.0,6.6,16.2,2.7,0.9,15.6,23.4,99,104,,-0.2,1.1,0.9,.069
Laura Ziegler,LAS,F,3,29,3,29,10.2,.429,.375,.375,.375,4.1,8.3,14.9,1.7,3.2,0.0,14.0,109,114,,0.0,0.0,0.0,.058
Monique Akoa Makani,TOT,G,21,479,21,479,10.8,.571,.514,.410,.326,0.8,5.2,17.9,2.4,0.8,19.9,19.4,99,112,,-0.1,0.5,0.3,.029
Lexi Held,TOT,G,34,510,34,510,7.5,.492,.460,.480,.147,3.1,4.8,14.4,1.1,0.8,14.9,16.6,95,116,,-0.3,0.2,-0.2,-0.013
Haley Jones,TOT,F-G,7,60,7,60,14.5,.651,.611,.167,.444,4.2,12.5,14.2,1.7,0.0,21.8,20.5,107,114,,0.1,0.0,0.1,.063
Betnijah Laney-Hamilton,TOT,G-F,20,331,20,331,5.5,.481,.420,.568,.321,1.5,6.8,14.3,1.1,0.8,23.2,16.3,89,112,,-0.4,0.3,-0.1,-0.017
Ta'Niya Latson,TOT,G,15,92,15,92,14.0,.603,.482,.286,.893,5.2,9.8,11.6,0.5,1.0,20.4,23.7,106,115,,0.1,0.0,0.1,.051
Anneli Maley,TOT,F,7,61,7,61,3.2,.218,.125,.417,.333,10.6,10.0,4.3,3.3,1.5,0.0,10.1,82,108,,-0.1,0.1,0.0,.004
Aneesah Morrow,TOT,F,24,541,24,541,17.7,.494,.467,.299,.262,12.7,22.2,12.8,2.1,2.3,12.8,25.4,99,107,,-0.1,0.9,0.8,.057
Kelsey Plum,TOT,G,16,503,16,503,22.4,.658,.613,.437,.390,0.7,4.2,33.1,1.6,0.0,14.8,27.8,119,117,,1.8,0.1,1.9,.150
Sug Sutton,TOT,G,20,215,20,215,12.1,.520,.508,.349,.190,1.1,4.8,31.5,1.7,0.8,19.0,17.5,105,114,,0.1,0.1,0.3,.048
Grace VanSlooten,TOT,F,16,81,16,81,14.9,.805,.833,.250,.667,1.4,7.4,7.6,2.5,4.5,20.5,10.5,127,108,,0.2,0.1,0.3,.134
Shatori Walker-Kimbrough,TOT,G,9,25,9,25,11.8,.592,.400,.000,.800,0.0,4.9,12.2,2.0,0.0,12.9,13.2,120,110,,0.0,0.0,0.1,.119
Kiana Williams,TOT,G,21,251,21,251,6.3,.485,.468,.709,.101,0.5,2.2,14.9,1.6,0.4,16.2,17.4,91,117,,-0.3,0.0,-0.3,-0.041
Monique Akoa Makani,PHO,G,19,444,19,444,11.5,.588,.530,.417,.333,0.5,5.4,18.4,2.5,0.9,20.1,19.3,101,111,,0.0,0.5,0.5,.044
Lexi Held,TOR,G,8,60,8,60,3.8,.431,.400,.400,.100,6.1,6.1,16.5,0.8,0.0,27.7,10.6,93,123,,0.0,0.0,-0.1,-0.056
Haley Jones,POR,F-G,5,57,5,57,13.5,.634,.588,.176,.471,4.4,12.1,15.0,1.8,0.0,22.6,20.8,105,114,,0.0,0.0,0.1,.052
Betnijah Laney-Hamilton,NYL,G-F,17,285,17,285,5.5,.497,.428,.536,.377,1.4,6.8,13.3,0.9,1.0,24.4,16.7,89,113,,-0.4,0.2,-0.2,-0.025
Ta'Niya Latson,LAS,G,10,50,10,50,5.4,.511,.318,.364,1.364,7.2,12.1,8.1,0.0,0.0,28.5,21.5,87,119,,-0.1,0.0,-0.1,-0.088
Anneli Maley,PHO,F,2,6,2,6,-7.5,.174,.000,.000,1.000,0.0,20.4,0.0,0.0,0.0,0.0,21.7,41,109,,-0.1,0.0,0.0,-0.284
Aneesah Morrow,CON,F,20,463,20,463,17.8,.487,.465,.310,.222,13.3,23.4,13.5,2.1,1.9,12.5,25.7,99,106,,-0.2,0.8,0.7,.057
Kelsey Plum,LAS,G,12,414,12,414,22.3,.653,.609,.431,.383,0.9,3.8,33.4,1.7,0.0,14.4,27.1,120,118,,1.5,0.0,1.6,.151
