Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,player
Career,Career,Career,Career,,141,139,29.2,5.5,11.7,0.467,1.2,3.2,0.373,4.3,8.5,0.502,0.517,2.5,3.4,0.748,1.9,3.5,5.3,2.3,1.6,0.9,2.2,2.3,14.6,,Flau'jae Johnson
2022-23,UCLA,Pac-12,FR,F,37,2,17.4,2.4,5.4,0.455,0.5,1.4,0.34,1.9,3.9,0.497,0.5,1.0,1.5,0.632,1.3,2.2,3.5,0.6,0.9,0.1,0.9,1.8,6.3,,Gabriela Jaquez
2023-24,UCLA,Pac-12,SO,F,34,6,25.2,3.8,7.9,0.478,0.6,2.4,0.259,3.2,5.6,0.571,0.517,1.8,2.6,0.713,2.0,3.6,5.6,1.6,0.6,0.1,1.4,2.2,10.0,,Gabriela Jaquez
2024-25,UCLA,Big Ten,JR,F,36,33,26.7,3.8,7.3,0.523,0.9,2.5,0.348,3.0,4.9,0.611,0.581,1.1,1.3,0.826,2.1,3.2,5.3,2.2,0.6,0.1,0.9,1.9,9.6,,Gabriela Jaquez
2025-26,UCLA,Big Ten,SR,F,38,38,30.4,4.9,9.1,0.539,1.3,3.2,0.39,3.6,5.8,0.622,0.609,2.4,2.8,0.86,1.8,3.7,5.5,2.1,1.1,0.1,1.8,1.9,13.5,,Gabriela Jaquez
Career,Career,Career,Career,,145,79,25.0,3.7,7.4,0.504,0.8,2.4,0.341,2.9,5.0,0.581,0.559,1.6,2.0,0.768,1.8,3.2,5.0,1.6,0.8,0.1,1.3,1.9,9.9,,Gabriela Jaquez
2022-23,UCLA,Pac-12,FR,G,37,36,28.1,4.0,9.7,0.411,0.4,1.6,0.217,3.6,8.1,0.45,0.429,3.3,4.1,0.791,1.5,3.0,4.5,3.0,1.2,0.5,1.6,2.3,11.6,,Kiki Rice
2023-24,UCLA,Pac-12,SO,G,34,34,31.2,4.6,10.3,0.449,0.9,2.7,0.312,3.8,7.6,0.498,0.49,3.1,3.6,0.876,0.7,5.1,5.7,4.5,1.4,0.5,2.5,2.2,13.2,,Kiki Rice
2024-25,UCLA,Big Ten,JR,G,34,33,28.4,4.2,8.7,0.485,0.9,2.5,0.365,3.3,6.2,0.533,0.537,3.4,3.9,0.871,0.6,2.9,3.5,5.0,1.4,0.4,2.1,1.7,12.8,,Kiki Rice
2025-26,UCLA,Big Ten,SR,G,38,37,30.8,5.1,10.3,0.49,0.9,2.4,0.385,4.1,7.9,0.522,0.534,3.9,4.3,0.902,1.5,4.4,5.9,4.3,1.5,0.4,1.7,1.8,14.9,AP-AA-3USBWA-AA-3,Kiki Rice
Career,Career,Career,Career,,143,140,29.6,4.5,9.8,0.458,0.8,2.3,0.328,3.7,7.5,0.498,0.497,3.4,4.0,0.86,1.1,3.8,4.9,4.2,1.4,0.4,2.0,2.0,13.1,,Kiki Rice
2021-22,Utah,Pac-12,FR,G,33.0,25.0,23.7,4.2,9.3,0.446,1.7,4.4,0.384,2.5,4.9,0.503,0.537,1.8,2.1,0.871,0.9,3.4,4.4,1.2,0.7,0.4,1.1,1.9,11.8,,Gianna Kneepkens
2022-23,Utah,Pac-12,SO,G,32.0,32.0,28.3,5.0,10.0,0.498,2.2,5.3,0.423,2.8,4.8,0.582,0.609,3.1,3.7,0.831,0.7,4.5,5.2,2.1,0.9,0.5,1.6,2.4,15.3,,Gianna Kneepkens
2023-24,Utah,Pac-12,JR,G,8.0,8.0,25.1,6.3,9.9,0.633,3.4,6.3,0.54,2.9,3.6,0.793,0.804,1.9,2.4,0.789,0.9,4.6,5.5,3.9,2.0,0.3,2.3,1.6,17.8,,Gianna Kneepkens
2024-25,Utah,Big 12,SR,G,31.0,31.0,30.1,6.2,12.3,0.504,3.0,6.8,0.448,3.2,5.5,0.573,0.627,3.9,4.4,0.89,0.8,4.2,5.0,3.0,1.0,0.3,2.4,2.2,19.3,,Gianna Kneepkens
